,Arttırılabilir Azami Bellek,Bağlantılar,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü,Optik Sürücü Tipi,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Soket Tipi,Star,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
2314,,,Dell Latitude 3510 N004l351015emea_u Intel Core I3 10110u 8gb 256gb Ssd Linux 15.6 Inc Notebook Taşınabil ELEKTRONIK-8692644045190 ,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartı,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,250 GB,1 GB,Q Türkçe,Ofis - İş,,,,Yok,,"14.017,57",1 GB,DDR4,Siyah,128 GB,,0.0,, Latitude 3510 N004l351015emea_u Intel Core I3 10110u 8gb 256gb Ssd Linux 15.6 Inc Notebook Taşınabil ELEKTRONIK-8692644045190 ,1280 x 800,Full HD (FHD),,5200,1. Nesil,AMD,1,Free Dos,
2315,,,"ASUS Rog Strix G513ıe-hn065a16 Amd Ryzen 7 4800h 16gb 512gb Ssd Windows 10 Home Rtx3050tı 15.6"" HN065A16 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.2,,,Yok,IPS,"26.220,57",16 GB,DDR4,Gri,512 GB,,4.79,," Rog Strix G513ıe-hn065a16 Amd Ryzen 7 4800h 16gb 512gb Ssd Windows 10 Home Rtx3050tı 15.6"" HN065A16 ",1920 x 1080,Full HD (FHD),,4800H,4. Nesil,AMD Ryzen 7,8,Windows,
2316,,,"HP 250 G8 34n75es04 I5-1135g7 16gb 256ssd 15.6"" Fullhd W10h Taşınabilir Bilgisayar T12989D ",2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"12.831,85",16 GB,DDR4,Gri,256 GB,,4.53,," 250 G8 34n75es04 I5-1135g7 16gb 256ssd 15.6"" Fullhd W10h Taşınabilir Bilgisayar T12989D ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
2317,,,"LENOVO Ideapad Gaming 3 82k101emtx01 I5-11320h 8gb 1tbssd Rtx3050ti 15.6"" Fullhd W11h Taşınabilir Bi T17618A ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,Yok,,23.749,8 GB,DDR4,Siyah,1 TB,,0.0,," Ideapad Gaming 3 82k101emtx01 I5-11320h 8gb 1tbssd Rtx3050ti 15.6"" Fullhd W11h Taşınabilir Bi T17618A ",1920 x 1080,Full HD (FHD),,Belirtilmemiş,11. Nesil,Intel Core i5,4,Windows,
2318,,,"Dell Inspiron 15 3511 I3511122u05 I5-1135g7 16gb 256ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T16639E ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,11.956,16 GB,DDR4,Siyah,256 GB,,0.0,," Inspiron 15 3511 I3511122u05 I5-1135g7 16gb 256ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T16639E ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
2319,,,"LENOVO V17 G2 Itl Core I7-1165g7 40 Gb 1 Tb Ssd 2gb Mx350 Win11pro 17.3"" Fhd 82nx00ectx089 82NX00ECTX089 ",2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce MX350,GDDR5,2 GB,Harici,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Ofis - İş,4.7,,,Yok,,"25.645,20",40 GB,DDR4,Gri,1 TB,,0.0,2.8," V17 G2 Itl Core I7-1165g7 40 Gb 1 Tb Ssd 2gb Mx350 Win11pro 17.3"" Fhd 82nx00ectx089 82NX00ECTX089 ",1920 x 1080,Full HD (FHD),,1165G7,11. Nesil,Intel Core i7,4,Windows 11,3 Saat ve Altı
2320,,,ASUS X415ea 11.nesil Core I5 1135g7-8gb-256gb Ssd-14inc-w11 X415EA-EK995W ,2 kg ve Altı,Yok,14 inç,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ev - Okul,,,,Yok,,12.499,8 GB,DDR4,Gümüş,SSD Yok,,4.31,, X415ea 11.nesil Core I5 1135g7-8gb-256gb Ssd-14inc-w11 X415EA-EK995W ,1920 x 1080,Full HD Ultra Wide,,1135G7,11. Nesil,Intel Core i5,4,Windows,
2321,,,"HP Laptop 15s-eq3009nt 68n41ea Amd Ryzen5 5625u 8gb 256gb Ssd Amd Radeon Grafik Kartı Fhd 15.6"" W11 125035229 ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,10.999,8 GB,Belirtilmemiş,Çok Renkli,256 GB,,4.53,," Laptop 15s-eq3009nt 68n41ea Amd Ryzen5 5625u 8gb 256gb Ssd Amd Radeon Grafik Kartı Fhd 15.6"" W11 125035229 ",1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,AMD Ryzen 5,Belirtilmemiş,Windows,
2322,,Bluetooth,"ASUS I5-1135g7 8gb 512gb 15,6"" Dos Taşınabilir Bilgisayar X515ea-bq1843t1 X515EA-BQ1843T1 ",2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,4.2,,,Yok,IPS,12.349,8 GB,DDR4,Lacivert,512 GB,,5.0,2.4," I5-1135g7 8gb 512gb 15,6"" Dos Taşınabilir Bilgisayar X515ea-bq1843t1 X515EA-BQ1843T1 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
2323,,USB,"LENOVO Thınkpad E15 G3 20yg004rtx Ryzen 5 5500u 16gb 512gb Ssd 15.6"" Freedos 20YG004RTX07 ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Ofis - İş,4.0,,,Yok,,"16.999,99",16 GB,DDR4,Siyah,512 GB,,0.0,2.1," Thınkpad E15 G3 20yg004rtx Ryzen 5 5500u 16gb 512gb Ssd 15.6"" Freedos 20YG004RTX07 ",1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,
2324,,,LENOVO Thinkpad E14 Gen 2 I7 1165g7 32gb Ram 512gb Ssd 2gb Mx450 Fdos Fhd 20ta0055tx005 20TA0055TX005 ,2 kg ve Altı,Yok,14 inç,Nvidia GeForce MX450,GDDR5,,Harici,,Full HD,,Resmi Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,,,,Yok,,"25.715,96",32 GB,,Siyah,512 GB,,0.0,, Thinkpad E14 Gen 2 I7 1165g7 32gb Ram 512gb Ssd 2gb Mx450 Fdos Fhd 20ta0055tx005 20TA0055TX005 ,1920 x 1080,Full HD (FHD),,1165G7,,Intel Core i7,,Free Dos,
2325,,,"HP Victus 16-e1011nt Amd Ryzen 5 6600h 16gb 1tb Ssd 4gb Rtx3050ti Fdos 16.1"" Fhd 144hz 68s27ea02 68S27EA02 ",2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,IPS,"24.999,98",16 GB,DDR5,Siyah,1 TB,,0.0,," Victus 16-e1011nt Amd Ryzen 5 6600h 16gb 1tb Ssd 4gb Rtx3050ti Fdos 16.1"" Fhd 144hz 68s27ea02 68S27EA02 ",1920 x 1080,Full HD (FHD),,6800H,6. Nesil,AMD Ryzen 5,8,Free Dos,
2326,32 GB,HDMI,HP 250 G9 6q8n3es Ryzen 7 5825u 8gb 512gb Ssd 15.6 Fhd Freedos 6Q8N3ES ,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Ev - Okul,4.5,,,Yok,IPS,12.399,8 GB,DDR4,Siyah,512 GB,,0.0,2, 250 G9 6q8n3es Ryzen 7 5825u 8gb 512gb Ssd 15.6 Fhd Freedos 6Q8N3ES ,1920 x 1080,Full HD (FHD),,5625U,Belirtilmemiş,AMD Ryzen 7,8,Free Dos,3 Saat ve Altı
2327,,,"LENOVO I3-1115g4 4gb 256gb Ssd 15.6"" Fdos 82kb000ctx Dizüstü Bilgisayar ",2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,9.429,4 GB,DDR4,Siyah,256 GB,,0.0,," I3-1115g4 4gb 256gb Ssd 15.6"" Fdos 82kb000ctx Dizüstü Bilgisayar ",1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,
2328,,,"LENOVO Ideapad Gaming 3 82k100ged0 I7-11390h 16gb 1tb+256ssd Gtx1650 15.6"" Fullhd Freedos Taşınabili T13407 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,RGB Türkçe,Oyun,,,,Yok,,24.499,16 GB,DDR4,Siyah,256 GB,,5.0,," Ideapad Gaming 3 82k100ged0 I7-11390h 16gb 1tb+256ssd Gtx1650 15.6"" Fullhd Freedos Taşınabili T13407 ",1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Free Dos,
2329,,HDMI,ASUS Tuf Gaming Fx506lh-hn004a4 Intel I5 10300h 8gb 256gb Ssd Gtx1650 Fdos 15.6 Fhd T. Bilgisayar FX506LH-HN004A4 ,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,Yok,IPS,25.174,8 GB,DDR4,Siyah,256 GB,,4.65,2.5, Tuf Gaming Fx506lh-hn004a4 Intel I5 10300h 8gb 256gb Ssd Gtx1650 Fdos 15.6 Fhd T. Bilgisayar FX506LH-HN004A4 ,1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü
2330,,,"LENOVO Lenovo Ideapad 3 Amd Ryzen 7 5700u 20gb 256gb Ssd Freedos 15.6"" 82ku00vntxa3 82KU00VNTXA3 ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,256 GB,Q Türkçe,Ofis - İş,,,,Yok,,"12.009,52",20 GB,DDR4,Gri,256 GB,,4.75,1.8," Lenovo Ideapad 3 Amd Ryzen 7 5700u 20gb 256gb Ssd Freedos 15.6"" 82ku00vntxa3 82KU00VNTXA3 ",1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,
2331,,,"ASUS X515ja-ej2124 Intel Core I5-1035g1 8gb 256gb Ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar 4711081649298 ",2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ev - Okul,,,,Yok,,11.999,8 GB,DDR4,Gri,256 GB,,5.0,3.7," X515ja-ej2124 Intel Core I5-1035g1 8gb 256gb Ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar 4711081649298 ",1920 x 1080,Full HD (FHD),,1035G1,7. Nesil,Intel Core i5,6,Free Dos,
2332,64 GB,HDMI,Casper Nirvana F500.1135-8d00x-g-f Intel Core I5-1135g7 8gb Ram 240gb M2 Ssd Freedos F500.1135-8D00X-G-F ,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Ofis - İş,4.2,,,Yok,IPS,11.699,8 GB,DDR4,Gri,240 GB,,5.0,2.4, Nirvana F500.1135-8d00x-g-f Intel Core I5-1135g7 8gb Ram 240gb M2 Ssd Freedos F500.1135-8D00X-G-F ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
2333,,,"ASUS X515ja-ej2137w Intel Core I3-1005g1 4gb 256gb Ssd 15.6"" Fullhd Windows11home Taşınabilir Bilgis 4711081649335 ",2 kg ve Altı,Var,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,,Yok,,7.899,4 GB,DDR4,Gümüş,256 GB,,4.42,," X515ja-ej2137w Intel Core I3-1005g1 4gb 256gb Ssd 15.6"" Fullhd Windows11home Taşınabilir Bilgis 4711081649335 ",1920 x 1080,Full HD (FHD),,1005G1,11. Nesil,Intel Core i3,6,Windows,
2334,,,"LENOVO V14 G2 Alc Amd Ryzen 7 5700u 8 Gb 128 Gb Ssd Freedos 14"" Fhd 82kc004etx006 82KC004ETX006 ",2 kg ve Altı,Yok,14 inç,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Ofis - İş,4.3,,,Yok,,"11.980,73",8 GB,DDR4,Siyah,128 GB,,0.0,1.8," V14 G2 Alc Amd Ryzen 7 5700u 8 Gb 128 Gb Ssd Freedos 14"" Fhd 82kc004etx006 82KC004ETX006 ",1920 x 1080,Full HD (FHD),,5700U,Belirtilmemiş,AMD Ryzen 7,8,Free Dos,3 Saat ve Altı
2335,,,"ASUS X509ua-ej073 I3-7020u 4 Gb 256 Gb Ssd 15.6"" Free Dos Fhd Dizüstü Bilgisayar X509UA ",2 - 4 kg,Yok,"15,6 inç",Intel HD 620,DDR2 + DDR3,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ev - Okul,,,,Yok,,7.896,4 GB,DDR4,Gri,256 GB,,4.67,2.3," X509ua-ej073 I3-7020u 4 Gb 256 Gb Ssd 15.6"" Free Dos Fhd Dizüstü Bilgisayar X509UA ",1366 x 768,Full HD (FHD),,7020U,7. Nesil,Intel Core i3,2,Free Dos,
2336,,,"ASUS Vivobook 15 Oled K513ep Intel Core I5 1135g7 24gb 1tb Ssd Mx330 W11p 15.6"" Fhd L157619 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce MX330,Belirtilmemiş,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"23.399,97",24 GB,DDR4,Gümüş,1 TB,,0.0,," Vivobook 15 Oled K513ep Intel Core I5 1135g7 24gb 1tb Ssd Mx330 W11p 15.6"" Fhd L157619 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Windows,
2337,,HDMI,"ASUS Tuf Gaming A15 Fx506lhb-hn347a6 I5-10300h 32 Gb 256 Gb Gtx1650 15.6"" Dos Dizüstü Bilgisayar FX506LHB-HN347A6 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,Yok,IPS,23.499,32 GB,DDR4,Siyah,256 GB,,0.0,2.5," Tuf Gaming A15 Fx506lhb-hn347a6 I5-10300h 32 Gb 256 Gb Gtx1650 15.6"" Dos Dizüstü Bilgisayar FX506LHB-HN347A6 ",1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü
2338,,,"Dell Vostro 5410 N3002cvn5410u08 I5-11320h 16gb 512ssd Mx450 14"" Fullhd W10p Taşınabilir Bilgisayar T17843H ",2 kg ve Altı,Yok,14 inç,Nvidia GeForce MX450,GDDR5,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,Yok,,20.302,16 GB,DDR4,Gri,512 GB,,0.0,," Vostro 5410 N3002cvn5410u08 I5-11320h 16gb 512ssd Mx450 14"" Fullhd W10p Taşınabilir Bilgisayar T17843H ",1920 x 1080,Full HD (FHD),,Belirtilmemiş,11. Nesil,Intel Core i5,4,Windows,
2339,,,"ASUS Vivobook 15 Oled K513ep Intel Core I5 1135g7 40gb 2tb Ssd Mx330 W11p 15.6"" Fhd L157624 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce MX330,Belirtilmemiş,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"22.999,97",40 GB,DDR4,Gümüş,2 TB,,4.74,," Vivobook 15 Oled K513ep Intel Core I5 1135g7 40gb 2tb Ssd Mx330 W11p 15.6"" Fhd L157624 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Windows,
2340,,,"LENOVO V15 82kd0042tx-16 R5-5500u 16gb 256gb 15.6"" Freedos 82KD0042TX16 ",2 - 4 kg,Yok,"15,6 inç",AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"11.329,99",16 GB,DDR4,Siyah,256 GB,,0.0,," V15 82kd0042tx-16 R5-5500u 16gb 256gb 15.6"" Freedos 82KD0042TX16 ",1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,Belirtilmemiş,Free Dos,
2341,,,"ASUS Tuf Gaming F15 Fx506lh-hn004w08 I5-10300h 32gb 512ssd+1tbssd Gtx1650 15.6"" Fullhd W11h Taşınabi T14507H ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,512 GB,RGB Türkçe,Oyun,,,,Yok,,21.899,32 GB,DDR4,Siyah,1 TB,,4.64,," Tuf Gaming F15 Fx506lh-hn004w08 I5-10300h 32gb 512ssd+1tbssd Gtx1650 15.6"" Fullhd W11h Taşınabi T14507H ",1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,6,Windows,
2342,,,Dell Ins 5420 I7 1260 14''-16g-512ssd-dos I5420403U ,2 kg ve Altı,Yok,14 inç,Intel Iris Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"22.647,18",16 GB,Belirtilmemiş,Gümüş,512 GB,,0.0,, Ins 5420 I7 1260 14''-16g-512ssd-dos I5420403U ,1920 x 1200,Full HD (FHD),,12600K,12. Nesil,Intel Core i7,12,Free Dos,
2343,,,"LENOVO Ideapad Gaming 3 82k100cwtx06 I5-11300h 32gb 1tb+512ssd Rtx3050 15.6"" Fullhd Freedos Taşınabi T12874F ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,RGB Türkçe,Oyun,,,,Yok,,21.659,32 GB,DDR4,Siyah,512 GB,,0.0,," Ideapad Gaming 3 82k100cwtx06 I5-11300h 32gb 1tb+512ssd Rtx3050 15.6"" Fullhd Freedos Taşınabi T12874F ",1920 x 1080,Full HD (FHD),,11300H,11. Nesil,Intel Core i5,4,Free Dos,
2344,8 GB,USB,Shenzhen technology Vitek Bilgisayar VK-R9 PRO-6 ,2 kg ve Altı,Var,"15,6 inç",Intel HD 620,DDR4,6 GB,Dahili,300 Hz,,2 Yıl,Casper Türkiye Garantili,,,250 GB,250 GB,F Klavye,Ev - Okul,+5,Üniversite,,DVD Okuyucu,TN,10.939,128 GB,DDR4,Gri,128 GB,,4.61,2.9, Vitek Bilgisayar VK-R9 PRO-6 ,1366 x 768,Full HD (FHD),,9750H,1. Nesil,Intel Celeron,4,Windows,4-6 Saat
2345,,,"LENOVO Ideapad 3 Amd Ryzen 3 3250u 4gb 128gb Ssd Windows 10 Home 15.6"" Taşınabilir Bilgisayar 81w100 HBV000014JL1A ",2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,128 GB,,Q Türkçe,Ofis - İş,,,,Yok,,7.489,4 GB,DDR4,Gri,128 GB,,0.0,2.6," Ideapad 3 Amd Ryzen 3 3250u 4gb 128gb Ssd Windows 10 Home 15.6"" Taşınabilir Bilgisayar 81w100 HBV000014JL1A ",1366 x 768,HD Ready (HD),,3250U,Ryzen,AMD Ryzen 3,4,Windows,
2346,12 GB,Bluetooth,"LENOVO V14 G2 Itl I3-1115g4 8gb 512 Gb Ssd 14"" Fhd Freedos 82ka0024tx Taşınabilir Bilgisayar 195477248779 ",2 kg ve Altı,Yok,14 inç,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,4.1,,,Yok,TN,"10.418,29",8 GB,DDR4,Siyah,512 GB,,4.5,3," V14 G2 Itl I3-1115g4 8gb 512 Gb Ssd 14"" Fhd Freedos 82ka0024tx Taşınabilir Bilgisayar 195477248779 ",1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,
2347,,,"LENOVO Thinkbook 15p 20v3000stx I5-10300h 16gb 512gb Ssd 4gb Gtx1650ti 15.6"" Fdos 2462368 ",2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics 620,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,,İthalatçı Garantili,,,256 GB,,Q Türkçe,Ev - Okul,,,,Çoklu Kopyalama Sistemleri,,31.985,4 GB,DDR4,Siyah,256 GB,,0.0,2.3," Thinkbook 15p 20v3000stx I5-10300h 16gb 512gb Ssd 4gb Gtx1650ti 15.6"" Fdos 2462368 ",1920 x 1080,FHD+,,7020U,Yok,Intel Core i3,4,Free Dos,
2348,,,"LENOVO V15-ADA AMD 3020E 16GB 1TB+128GB SSD Freedos 15.6"" HD 82C7007KTX5 ",2 - 4 kg,Yok,"15,6 inç",AMD,DDR4,Paylaşımlı,Dahili,,HD,,Resmi Distribütör Garantili,HD Ready,Var,,1 TB,Q Türkçe,Ofis - İş,,,,Yok,TN,10.788,16 GB,,Gri,128 GB,,4.67,1 - 2," V15-ADA AMD 3020E 16GB 1TB+128GB SSD Freedos 15.6"" HD 82C7007KTX5 ",1366 x 768,HD Ready (HD),,3020e,3. Nesil,AMD E,,Free Dos,3 Saat ve Altı
2349,,,"LENOVO Flex 5/ Ryzen 3 5300u/ 4gb Ram/ 256gb Ssd/ 14"" Full-hd/ Ikisi Birarada Laptop 1222785 ",2 kg ve Altı,Yok,14 inç,AMD,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,3 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ev - Okul,,,,Yok,,13.300,4 GB,DDR4,Gri,256 GB,,0.0,," Flex 5/ Ryzen 3 5300u/ 4gb Ram/ 256gb Ssd/ 14"" Full-hd/ Ikisi Birarada Laptop 1222785 ",1920 x 1080,Full HD (FHD),,5300U,Belirtilmemiş,AMD Ryzen 3,4,Windows,
2350,,,HP 255 G9 Amd Ryzen 5-5625u 16gb 256 Gb Ssd 15.6 Freedos 6q8n1estj53 6Q8N1ESYK53 ,Belirtilmemiş,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,360 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"11.166,12",16 GB,DDR4,Gri,256 GB,,0.0,, 255 G9 Amd Ryzen 5-5625u 16gb 256 Gb Ssd 15.6 Freedos 6q8n1estj53 6Q8N1ESYK53 ,1920 x 1080,Full HD (FHD),,5625U,Belirtilmemiş,AMD Ryzen 5,6,Free Dos,
2351,,HDMI,"ASUS Tuf Gaming A15 Fx506lhb-hn347a1 I5-10300h 8 Gb 512 Gb Gtx1650 15.6"" Dos Dizüstü Bilgisayar FX506LHB-HN347A1 ",2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,Yok,IPS,21.999,8 GB,DDR4,Siyah,512 GB,,0.0,2.5," Tuf Gaming A15 Fx506lhb-hn347a1 I5-10300h 8 Gb 512 Gb Gtx1650 15.6"" Dos Dizüstü Bilgisayar FX506LHB-HN347A1 ",1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü
2352,,,"LENOVO V14 82c400a8tx01 I5-1035g1 8gb 512ssd 14"" Fullhd W10h Taşınabilir Bilgisayar T08398A ",2 - 4 kg,Yok,14 inç,Paylaşımlı,SD,,Dahili,,,,Resmi Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,,,,Yok,,11.399,8 GB,,Gri,512 GB,,4.47,," V14 82c400a8tx01 I5-1035g1 8gb 512ssd 14"" Fullhd W10h Taşınabilir Bilgisayar T08398A ",1920 x 1080,Full HD (FHD),,1035G1,,Intel Core i5,,Windows,
